Index,Player,Position,KDA,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,mole BL,MID,6.3 KDA4.5 / 2.1 / 9.2,7,21,17,70.50%,95,4.5,195,9.2,46,2.1,424.5,8.4,711.8,26.30%,646,19.10%,0.3,0.2
2,haoye BL,JUG,6.2 KDA6.0 / 2.2 / 8.1,5,21,17,72.70%,128,6,171,8.1,48,2.2,430.5,7.9,562.5,20.80%,963.3,28.50%,0.4,0.4
3,Baolan BL,SUP,6.2 KDA0.6 / 2.4 / 14.4,2,21,17,76.80%,13,0.6,303,14.4,51,2.4,271.2,1.2,209.9,7.70%,496.1,14.70%,1.7,0.4
4,Zwuji M3,ADC,5.8 KDA4.6 / 1.9 / 6.4,1,23,11,74.90%,106,4.6,148,6.4,44,1.9,439,9.8,784.2,32.30%,457,14.10%,0.3,0.3
5,san KB,ADC,5.7 KDA5.8 / 2.3 / 7.2,3,23,17,70.40%,134,5.8,167,7.2,53,2.3,445.8,9.4,701.5,25.30%,449.2,11.60%,0.4,0.3
6,Doinb BYG,MID,5.2 KDA4.4 / 2.6 / 9.4,2,20,11,79.30%,88,4.4,189,9.4,53,2.6,417.3,8.9,759,29.10%,751.8,21.10%,0.3,0.2
7,Kuro KB,MID,5.0 KDA2.8 / 2.3 / 9.1,2,23,17,64.60%,66,2.8,210,9.1,55,2.3,399.8,8.5,607.2,21.90%,650.3,16.80%,0.4,0.2
8,Xiyang BL,TOP,4.9 KDA2.3 / 2.0 / 7.7,0,21,17,51.50%,49,2.3,163,7.7,43,2,377,7.5,437.2,16.10%,785.9,23.30%,0.4,0.2
9,Smlz BL,ADC,4.7 KDA6.0 / 2.7 / 6.9,3,21,17,65.90%,126,6,145,6.9,58,2.7,464.2,9.4,781.2,28.90%,478.1,14.10%,0.2,0.2
10,icon M3,MID,4.6 KDA4.4 / 2.6 / 7.6,7,23,11,82.00%,102,4.4,176,7.6,61,2.6,419.8,9.3,670.8,27.60%,661.8,20.40%,0.3,0.2
11,Corn BGM,MID,4.6 KDA3.3 / 2.0 / 6.2,2,20,10,61.80%,66,3.3,124,6.2,41,2,403.3,8.9,547.3,22.80%,638.4,18.60%,0.3,0.1
12,xiye OP,MID,4.5 KDA5.9 / 2.8 / 6.8,7,22,11,73.20%,131,5.9,151,6.8,63,2.8,441.4,8.8,960.1,34.30%,647.5,17.10%,0.3,0.2
13,Leyan KB,JUG,4.5 KDA4.8 / 3.0 / 8.8,5,23,17,73.70%,112,4.8,203,8.8,70,3,420.7,8.1,598.7,21.60%,1182,30.60%,0.3,0.3
14,Lwx BYG,ADC,4.4 KDA5.6 / 2.8 / 6.8,1,20,11,71.00%,112,5.6,136,6.8,56,2.8,448.1,9.7,745.2,28.60%,504.9,14.10%,0.3,0.3
15,Cat KB,SUP,4.4 KDA1.0 / 3.1 / 12.9,1,23,17,75.40%,25,1,297,12.9,73,3.1,255,1.1,178.2,6.40%,554.9,14.40%,1.8,0.3
16,Puff SG,ADC,4.3 KDA4.9 / 2.6 / 6.2,5,23,13,71.90%,114,4.9,143,6.2,60,2.6,451.3,9.9,736.5,28.70%,485.8,13.30%,0.2,0.3
17,XLB BGM,JUG,4.2 KDA3.7 / 2.7 / 7.8,3,20,10,75.20%,75,3.7,156,7.8,55,2.7,357.8,6.3,434.4,18.00%,1003.6,29.20%,0.3,0.5
18,Kid BYG,JUG,4.1 KDA3.7 / 3.1 / 9.1,7,20,11,73.60%,74,3.7,183,9.1,63,3.1,342.8,5.9,376.2,14.40%,1001.1,28.10%,0.3,0.2
19,Zz1tai ZT,MID,4.0 KDA4.8 / 2.6 / 5.6,2,10,4,66.60%,48,4.8,56,5.6,26,2.6,426.1,9.1,735.2,31.70%,603.3,18.40%,0.4,0.2
20,vasilii ZT,ADC,4.0 KDA4.6 / 2.5 / 5.3,1,10,4,63.40%,46,4.6,53,5.3,25,2.5,432.8,9.2,575.1,24.80%,416.9,12.70%,0.2,0.2
21,957 M3,TOP,4.0 KDA3.3 / 2.2 / 5.5,2,23,11,60.40%,77,3.3,128,5.5,51,2.2,376,7.8,463.2,19.10%,697.7,21.50%,0.3,0.1
22,Mint OP,ADC,3.9 KDA4.5 / 3.1 / 7.7,0,22,11,70.30%,100,4.5,171,7.7,70,3.1,428.9,9,631.6,22.50%,519.2,13.70%,0.3,0.3
23,Ning OP,JUG,3.8 KDA3.7 / 3.1 / 8.2,2,22,11,68.50%,83,3.7,181,8.2,70,3.1,377.9,7.2,513.8,18.30%,1169.2,30.90%,0.3,0.3
24,Langx SG,TOP,3.8 KDA2.2 / 2.2 / 6.4,3,23,13,55.70%,51,2.2,148,6.4,52,2.2,392.3,8.4,540.3,21.00%,794,21.80%,0.4,0.1
25,Cloud BYG,SUP,3.8 KDA0.9 / 3.3 / 11.8,0,20,11,72.70%,18,0.9,236,11.8,66,3.3,250.9,1.3,181.2,6.90%,455,12.70%,2.2,0.4
26,Xiaocaobao SG,MID,3.7 KDA4.3 / 2.8 / 6.1,3,23,13,67.70%,100,4.3,142,6.1,66,2.8,447.4,9.6,724.8,28.20%,721,19.80%,0.3,0.4
27,imp BGM,ADC,3.6 KDA4.5 / 3.0 / 6.3,3,20,10,71.00%,91,4.5,127,6.3,61,3,441.9,9.5,736,30.60%,530.3,15.40%,0.3,0.3
28,Zoom KB,TOP,3.4 KDA3.9 / 3.2 / 7.1,6,23,17,59.40%,90,3.9,164,7.1,74,3.2,441,9.2,683.5,24.60%,1015.3,26.30%,0.4,0.1
29,LetMe BGM,TOP,3.4 KDA2.7 / 2.6 / 6.0,1,20,10,57.30%,55,2.7,121,6,52,2.6,373.6,7.7,510.1,21.20%,727.3,21.20%,0.3,0.1
30,KaKAO SG,JUG,3.3 KDA3.5 / 3.3 / 7.3,2,23,13,70.00%,81,3.5,169,7.3,76,3.3,352.5,6.1,404.7,15.70%,1091.1,30.00%,0.3,0.3
31,Duan M3,SUP,3.3 KDA0.7 / 3.2 / 9.9,0,23,11,72.20%,17,0.7,228,9.9,75,3.2,248.7,1.3,199.4,8.20%,475.4,14.70%,1.9,0.6
32,Fireloli OP,SUP,3.0 KDA1.3 / 4.1 / 11.3,1,22,11,72.70%,30,1.3,250,11.3,92,4.1,260,1.2,234.2,8.30%,564.5,14.90%,2,0.4
33,XuanXuanPi BGM,SUP,3.0 KDA1.0 / 3.7 / 10.1,1,20,10,72.60%,20,1,203,10.1,75,3.7,253.8,1.3,172.4,7.10%,528.8,15.40%,2,0.3
34,Heart SG,SUP,2.9 KDA0.4 / 4.1 / 11.4,0,23,13,76.70%,11,0.4,263,11.4,96,4.1,239.7,0.9,159,6.20%,540,14.80%,1.4,0.2
35,Avoidless M3,JUG,2.8 KDA1.6 / 3.2 / 7.6,1,23,11,62.80%,37,1.6,176,7.6,75,3.2,323.8,6.1,305,12.50%,938.7,29.00%,0.3,0.4
36,Kramer AIW,ADC,2.7 KDA3.7 / 2.7 / 3.5,0,11,2,73.30%,41,3.7,39,3.5,30,2.7,430.8,9.7,549,27.10%,465.2,14.50%,0.4,0.4
37,WX OB,ADC,2.7 KDA3.4 / 3.1 / 5.1,1,10,2,74.50%,34,3.4,51,5.1,31,3.1,402.8,9,645.3,30.60%,445.7,12.50%,0.3,0.2
38,Gimgoon BYG,TOP,2.7 KDA2.8 / 3.7 / 7.2,1,20,11,57.80%,57,2.8,145,7.2,74,3.7,366.9,7.4,543.4,20.80%,843.3,23.70%,0.3,0.1
39,Uzi GM,ADC,2.6 KDA7.1 / 5.0 / 6.0,6,19,7,75.30%,135,7.1,115,6,96,5,491.3,10.5,937.7,33.70%,713.5,18.00%,0.3,0.3
40,Xiaopeng OB,JUG,2.6 KDA3.1 / 3.5 / 6.0,1,10,2,79.80%,31,3.1,60,6,35,3.5,363.7,6.9,465.7,22.10%,1129.9,31.70%,0.3,0.3
41,wuming OB,MID,2.6 KDA2.9 / 2.8 / 4.4,0,10,2,64.00%,29,2.9,44,4.4,28,2.8,382.1,8.7,475.6,22.60%,513.5,14.40%,0.2,0.1
42,Eimy ZT,JUG,2.6 KDA1.7 / 3.6 / 7.5,1,10,4,58.90%,17,1.7,75,7.5,36,3.6,312.2,5.3,258.5,11.10%,952.1,29.10%,0.3,0.3
43,Ming GM,SUP,2.6 KDA1.5 / 5.0 / 11.7,0,19,7,75.90%,29,1.5,223,11.7,96,5,268.7,1.1,258.1,9.20%,632.1,15.90%,1.6,0.4
44,AmazingJ ZT,TOP,2.4 KDA3.2 / 3.1 / 4.3,0,10,4,48.00%,32,3.2,43,4.3,31,3.1,372.1,8.3,485.7,20.90%,731.9,22.40%,0.4,0.1
45,Lpc ZT,SUP,2.4 KDA1.3 / 5.0 / 10.5,0,10,4,75.60%,13,1.3,105,10.5,50,5,255.8,1.2,264.3,11.30%,560.7,17.10%,1.5,0.4
46,Westdoor GM,MID,2.3 KDA3.7 / 4.3 / 6.1,0,19,7,56.90%,72,3.7,117,6.1,82,4.3,365.7,6.9,639.1,23.00%,672.8,17.00%,0.3,0.1
47,Duke OP,TOP,2.3 KDA1.8 / 3.3 / 5.9,1,22,11,44.60%,41,1.8,131,5.9,74,3.3,361.7,7.6,455.2,16.20%,874.9,23.10%,0.2,0.1
48,Xinyi GM,JUG,2.2 KDA3.1 / 4.8 / 7.8,1,19,7,62.90%,59,3.1,150,7.8,93,4.8,347.1,5.8,414.2,14.90%,1079.1,27.20%,0.2,0.4
49,Fzzf OB,SUP,2.1 KDA0.7 / 4.4 / 8.7,0,10,2,82.40%,7,0.7,87,8.7,44,4.4,238.7,1.1,156.2,7.40%,563.7,15.80%,1.6,0.4
50,Gogoing GM,TOP,1.9 KDA1.9 / 4.7 / 6.8,0,19,7,50.30%,37,1.9,130,6.8,90,4.7,331.3,6.5,526.1,18.90%,857.4,21.60%,0.4,0
51,MLXG AIW,JUG,1.9 KDA1.9 / 4.0 / 5.7,2,11,2,77.00%,21,1.9,63,5.7,44,4,317.7,5.9,272.8,13.40%,939.3,29.40%,0.3,0.2
52,Ben AIW,SUP,1.9 KDA0.6 / 3.6 / 6.3,0,11,2,70.60%,7,0.6,70,6.3,40,3.6,222.5,0.9,183.1,9.00%,487.4,15.20%,1.6,0.2
53,kRYST4L KO,ADC,1.8 KDA2.8 / 4.0 / 4.2,1,10,1,74.40%,28,2.8,42,4.2,40,4,383.8,8.9,641.8,26.90%,499.7,13.60%,0.3,0.2
54,Sofm KO,JUG,1.7 KDA3.3 / 3.7 / 3.1,0,10,1,68.00%,33,3.3,31,3.1,37,3.7,365.8,7.7,657.4,27.60%,885.8,24.20%,0.6,0.4
55,Cool AIW,MID,1.7 KDA1.9 / 3.5 / 4.1,0,11,2,61.40%,21,1.9,46,4.1,39,3.5,336.6,7.8,506.5,25.00%,599.5,18.80%,0.4,0.1
56,MaRin AIW,TOP,1.7 KDA1.7 / 3.4 / 4.0,0,11,2,57.70%,19,1.7,44,4,38,3.4,373.2,8.5,510.3,25.20%,696.3,21.80%,0.4,0.1
57,ZZR KO,MID,1.6 KDA0.7 / 3.8 / 5.4,0,10,1,64.80%,7,0.7,54,5.4,38,3.8,304.8,6.5,354.7,14.90%,920,25.10%,0.4,0.2
58,Aliez KO,TOP,1.4 KDA2.1 / 3.6 / 2.9,0,10,1,53.10%,21,2.1,29,2.9,36,3.6,361.6,8.6,540.7,22.70%,713.8,19.50%,0.3,0.1
59,Jiezou KO,SUP,1.3 KDA0.5 / 5.1 / 6.0,0,10,1,69.10%,5,0.5,60,6,51,5.1,226.1,1.4,182.8,7.60%,635.4,17.30%,1.4,0.3
60,caomei OB,TOP,1.2 KDA1.3 / 4.4 / 4.0,0,10,2,46.40%,13,1.3,40,4,44,4.4,328.2,7.1,361.3,17.10%,905.9,25.40%,0.3,0.1
