Index,Player,Team,Position,KDA,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,Gumayusi,T1,ADC,10.6 KDA3.7 / 0.8 / 4.7,0,15,13,60.40%,56,3.7,71,4.7,12,0.8,439.4,9.7,492.4,22.70%,305.4,12.00%,0.5,0.4
2,Keria,T1,SUP,8.4 KDA0.8 / 1.2 / 9.7,2,15,13,75.70%,13,0.8,146,9.7,19,1.2,265.2,1.2,238.1,10.90%,338.7,13.40%,2.1,0.4
3,Peyz,GEN,ADC,6.8 KDA4.6 / 1.3 / 4.4,0,9,6,65.60%,42,4.6,40,4.4,12,1.3,465.5,10.6,636.8,29.40%,354.4,12.10%,0.5,0.4
4,Oner,T1,JUG,6.7 KDA2.4 / 1.7 / 9.0,5,15,13,82.30%,37,2.4,136,9,26,1.7,350.3,5.8,291.5,13.40%,814.6,32.20%,0.4,0.3
5,Aiming,KT,ADC,6.7 KDA5.6 / 1.5 / 4.4,2,12,6,82.80%,68,5.6,53,4.4,18,1.5,490.4,11.2,642,31.20%,360,12.20%,0.3,0.4
6,ShowMaker,DK,MID,6.6 KDA2.5 / 1.2 / 5.7,1,8,4,70.90%,20,2.5,46,5.7,10,1.2,404.7,9.2,597.5,26.30%,395.1,15.50%,0.5,0.4
7,Faker,T1,MID,6.5 KDA3.0 / 1.4 / 6.0,5,15,13,64.70%,46,3,90,6,21,1.4,411.5,9.3,521.4,24.00%,447.6,17.70%,0.4,0.2
8,Ruler,JDG,ADC,6.5 KDA4.0 / 1.3 / 4.5,1,13,8,70.20%,52,4,59,4.5,17,1.3,464.8,10.7,558.1,26.60%,348.2,12.30%,0.6,0.4
9,Light,WBG,ADC,5.8 KDA4.4 / 1.5 / 4.3,6,19,11,67.30%,84,4.4,83,4.3,29,1.5,439.6,9.5,634.6,27.90%,342.2,12.40%,0.4,0.3
10,Chovy,GEN,MID,5.5 KDA3.6 / 1.6 / 5.4,2,9,6,65.60%,33,3.6,49,5.4,15,1.6,425.3,9.8,550.3,25.40%,615.1,21.10%,0.3,0.3
11,Delight,GEN,SUP,5.2 KDA0.4 / 2.0 / 9.8,1,9,6,74.40%,4,0.4,89,9.8,18,2,243.4,1.1,120.3,5.50%,401,13.70%,1.6,0.4
12,Missing,JDG,SUP,5.1 KDA0.7 / 1.8 / 8.6,2,13,8,77.20%,10,0.7,112,8.6,24,1.8,249.2,1.1,199.5,9.50%,426.5,15.10%,1.9,0.4
13,Zeus,T1,TOP,5.0 KDA3.8 / 1.5 / 3.7,1,15,13,54.20%,58,3.8,56,3.7,23,1.5,447.6,9.9,624.5,28.80%,619.6,24.50%,0.3,0.1
14,Slayder,GAM,ADC,4.9 KDA4.5 / 1.7 / 3.8,1,17,9,61.90%,78,4.5,65,3.8,29,1.7,452.6,10.5,470.9,22.00%,361.6,11.90%,0.4,0.3
15,Xun,BLG,JUG,4.9 KDA2.6 / 2.0 / 7.0,3,18,9,75.70%,48,2.6,127,7,36,2,338.9,5.7,311.3,13.80%,806.2,27.70%,0.3,0.3
16,Noah,FNC,ADC,4.8 KDA4.2 / 1.7 / 4.2,2,9,4,66.60%,38,4.2,38,4.2,16,1.7,438.3,10,527.6,24.00%,397.6,12.40%,0.4,0.3
17,Peanut,GEN,JUG,4.7 KDA2.5 / 2.1 / 7.3,1,9,6,71.20%,23,2.5,66,7.3,19,2.1,353.6,6.1,291.9,13.50%,735.2,25.20%,0.4,0.3
18,Canyon,DK,JUG,4.7 KDA2.2 / 1.7 / 6.0,1,8,4,70.90%,18,2.2,48,6,14,1.7,349.3,6.5,247.5,10.90%,786.5,31.00%,0.5,0.4
19,FBI,NRG,ADC,4.7 KDA4.1 / 2.2 / 6.3,0,8,4,73.60%,33,4.1,51,6.3,18,2.2,386.9,6.2,617.7,28.10%,409.3,13.60%,0.8,0.3
20,Crownie,BDS,ADC,4.5 KDA3.8 / 1.8 / 4.3,1,16,8,69.80%,61,3.8,69,4.3,29,1.8,455.6,10.8,553.6,27.20%,434.9,14.20%,0.5,0.4
21,knight,JDG,MID,4.5 KDA2.5 / 2.0 / 6.3,2,13,8,73.40%,33,2.5,83,6.3,26,2,400.3,9.1,523.7,25.00%,423,14.90%,0.3,0.3
22,Deft,DK,ADC,4.5 KDA4.1 / 1.8 / 4.3,1,8,4,73.10%,33,4.1,35,4.3,15,1.8,439.8,9.9,714.2,31.40%,360.8,14.20%,0.5,0.3
23,Scout,LNG,MID,4.2 KDA3.2 / 1.7 / 3.9,1,11,5,76.60%,36,3.2,43,3.9,19,1.7,397,9,516.7,28.60%,462.4,16.80%,0.3,0.2
24,GALA,LNG,ADC,4.2 KDA3.0 / 1.5 / 3.5,1,11,5,69.90%,33,3,39,3.5,17,1.5,434,10.6,478.9,26.50%,324.9,11.80%,0.3,0.3
25,Palette,GAM,SUP,4.1 KDA0.7 / 2.2 / 8.7,1,17,9,69.60%,12,0.7,149,8.7,39,2.2,245.5,1.3,144.1,6.70%,466,15.30%,1.9,0.4
26,Sheo,BDS,JUG,4.1 KDA1.2 / 2.1 / 7.6,0,16,8,76.80%,20,1.2,123,7.6,35,2.1,319.8,5.3,318.3,15.60%,751.3,24.60%,0.2,0.2
27,Nisqy,MAD,MID,4.1 KDA3.0 / 2.2 / 6.0,0,5,1,71.40%,15,3,30,6,11,2.2,390,8.6,553.7,27.20%,448.5,15.50%,0.4,0.2
28,IgNar,NRG,SUP,4.1 KDA0.3 / 2.3 / 9.2,0,8,4,67.50%,3,0.3,74,9.2,19,2.3,261.4,2.9,148.2,6.70%,524.4,17.50%,1.4,0.3
29,ON,BLG,SUP,4.1 KDA0.7 / 2.2 / 8.6,0,18,9,73.50%,14,0.7,156,8.6,41,2.2,258.8,1.5,191.1,8.50%,467.5,16.10%,2.1,0.5
30,Elk,BLG,ADC,4.1 KDA3.5 / 2.2 / 5.5,3,18,9,70.50%,63,3.5,100,5.5,40,2.2,441,9.7,691.5,30.70%,413,14.20%,0.5,0.4
31,Levi,GAM,JUG,4.0 KDA2.2 / 2.5 / 8.0,2,17,9,75.70%,39,2.2,136,8,44,2.5,357.1,6,346.3,16.10%,914.2,30.10%,0.4,0.4
32,Palafox,NRG,MID,4.0 KDA3.6 / 2.6 / 6.8,2,8,4,73.60%,29,3.6,55,6.8,21,2.6,404.7,8.6,541.4,24.60%,454.7,15.10%,0.4,0.1
33,Contractz,NRG,JUG,4.0 KDA3.1 / 2.3 / 6.3,2,8,4,66.60%,25,3.1,51,6.3,19,2.3,343.2,5.8,373.6,17.00%,840.5,28.00%,0.3,0.3
34,Pyosik,TL,JUG,3.9 KDA2.8 / 1.6 / 3.4,1,5,1,70.40%,14,2.8,17,3.4,8,1.6,347.6,6.7,324.1,19.30%,949.8,30.70%,0.3,0.3
35,Crisp,WBG,SUP,3.8 KDA0.7 / 2.5 / 8.8,1,19,11,73.70%,15,0.7,168,8.8,48,2.5,250.5,1.2,186.4,8.20%,344.7,12.50%,1.7,0.4
36,Xiaohu,WBG,MID,3.8 KDA3.5 / 2.3 / 5.3,2,19,11,68.10%,67,3.5,102,5.3,45,2.3,417.9,9.2,580,25.50%,483.2,17.50%,0.3,0.3
37,Doran,GEN,TOP,3.7 KDA2.5 / 2.3 / 6.0,2,9,6,61.60%,23,2.5,54,6,21,2.3,404.9,8.7,560.2,25.90%,805.8,27.60%,0.3,0.1
38,Blaber,C9,JUG,3.6 KDA2.5 / 2.6 / 7.0,0,6,2,81.40%,15,2.5,42,7,16,2.6,377.6,6.5,388.5,19.40%,878.3,28.20%,0.3,0.4
39,Razork,FNC,JUG,3.6 KDA2.4 / 2.7 / 7.6,1,9,4,79.80%,22,2.4,69,7.6,25,2.7,357.1,6.2,394.9,17.90%,825.6,25.80%,0.3,0.3
40,Bdd,KT,MID,3.6 KDA2.7 / 2.2 / 5.4,0,12,6,67.10%,33,2.7,65,5.4,27,2.2,392.6,9.2,516.6,25.10%,428,14.50%,0.4,0.1
41,Berserker,C9,ADC,3.5 KDA3.1 / 1.6 / 2.6,1,6,2,50.00%,19,3.1,16,2.6,10,1.6,438,10.6,462.5,23.10%,304,9.70%,0.4,0.2
42,Kellin,DK,SUP,3.5 KDA0.6 / 2.5 / 8.1,0,8,4,75.20%,5,0.6,65,8.1,20,2.5,235.8,1,134.1,5.90%,425.1,16.70%,1.8,0.3
43,Dhokla,NRG,TOP,3.5 KDA3.0 / 2.3 / 5.2,0,8,4,57.80%,24,3,42,5.2,19,2.3,386.9,8.4,515.8,23.40%,765,25.50%,0.4,0.2
44,Cuzz,KT,JUG,3.5 KDA1.5 / 2.3 / 6.5,1,12,6,67.10%,19,1.5,79,6.5,28,2.3,323.2,5.5,264.1,12.80%,858,29.10%,0.4,0.4
45,Yagao,BLG,MID,3.5 KDA2.8 / 2.5 / 6.0,0,18,9,68.80%,51,2.8,108,6,45,2.5,391.3,8.5,597.2,26.50%,417.5,14.30%,0.4,0.2
46,WeiWei,WBG,JUG,3.4 KDA1.5 / 2.5 / 7.2,0,19,11,66.90%,29,1.5,137,7.2,49,2.5,317.7,5.1,275.4,12.10%,780.8,28.30%,0.4,0.3
47,Tarzan,LNG,JUG,3.4 KDA1.4 / 2.2 / 6.1,3,11,5,81.50%,16,1.4,68,6.1,25,2.2,327,5.7,258.1,14.30%,793.6,28.90%,0.4,0.4
48,Labrov,BDS,SUP,3.3 KDA0.2 / 2.6 / 8.5,1,16,8,75.20%,4,0.2,136,8.5,43,2.6,230.4,1.1,132.1,6.50%,531.4,17.40%,1.7,0.3
49,Elyoya,MAD,JUG,3.3 KDA2.0 / 2.6 / 6.6,0,5,1,68.20%,10,2,33,6.6,13,2.6,334.5,6,247.3,12.10%,676.2,23.40%,0.3,0.3
50,Kati,GAM,MID,3.1 KDA3.0 / 2.8 / 6.0,1,17,9,66.60%,52,3,102,6,49,2.8,411.9,9,644.6,30.10%,457,15.00%,0.5,0.3
51,Canna,DK,TOP,3.1 KDA2.1 / 2.3 / 5.1,1,8,4,62.30%,17,2.1,41,5.1,19,2.3,384,8.8,575,25.30%,566.5,22.30%,0.4,0.1
52,Hang,LNG,SUP,3.1 KDA0.1 / 2.0 / 6.3,0,11,5,69.90%,2,0.1,70,6.3,23,2,228.3,1.1,110.8,6.10%,411,14.90%,1.8,0.3
53,Lehends,KT,SUP,3.0 KDA0.2 / 2.6 / 7.7,2,12,6,65.70%,3,0.2,93,7.7,32,2.6,229,1.1,117,5.60%,426.1,14.40%,1.6,0.3
54,369,JDG,TOP,2.9 KDA2.2 / 2.6 / 5.4,1,13,8,63.20%,29,2.2,71,5.4,34,2.6,374.3,8.4,479.8,22.90%,770.2,27.20%,0.3,0.1
55,nuc,BDS,MID,2.8 KDA3.4 / 2.7 / 4.2,2,16,8,66.10%,55,3.4,68,4.2,44,2.7,397.5,8.8,589.3,29.00%,450.5,14.70%,0.3,0.2
56,EMENES,C9,MID,2.8 KDA2.5 / 2.3 / 4.0,0,6,2,55.70%,15,2.5,24,4,14,2.3,384.6,8.4,492,24.60%,547.6,17.60%,0.4,0.2
57,Kanavi,JDG,JUG,2.8 KDA2.6 / 3.3 / 6.5,2,13,8,75.30%,34,2.6,85,6.5,43,3.3,364.3,6.5,329.4,15.70%,855.6,30.30%,0.3,0.3
58,Carzzy,MAD,ADC,2.7 KDA4.2 / 2.8 / 3.4,1,5,1,60.30%,21,4.2,17,3.4,14,2.8,428.7,9.8,624.7,30.70%,496.2,17.10%,0.4,0.4
59,bin,BLG,TOP,2.6 KDA3.0 / 2.5 / 3.5,3,18,9,51.00%,55,3,63,3.5,46,2.5,384,8.3,456.7,20.30%,798.5,27.50%,0.3,0.1
60,Kiaya,GAM,TOP,2.5 KDA2.9 / 3.1 / 5.1,4,17,9,59.30%,50,2.9,87,5.1,54,3.1,390.7,8.4,531.7,24.80%,828.8,27.30%,0.4,0.1
61,Adam,BDS,TOP,2.5 KDA2.8 / 2.6 / 3.6,4,16,8,55.90%,46,2.8,58,3.6,42,2.6,402.9,8.5,435.6,21.40%,878.2,28.80%,0.4,0.2
62,Trymbi,FNC,SUP,2.5 KDA0.8 / 3.6 / 8.1,0,9,4,71.00%,8,0.8,73,8.1,33,3.6,240.7,1,134.4,6.10%,525.6,16.40%,1.3,0.2
63,Humanoid,FNC,MID,2.5 KDA2.3 / 3.3 / 5.8,1,9,4,64.90%,21,2.3,53,5.8,30,3.3,413.8,9.4,652.7,29.70%,621.8,19.40%,0.3,0.2
64,Kiin,KT,TOP,2.4 KDA1.9 / 3.0 / 5.2,1,12,6,58.90%,23,1.9,63,5.2,36,3,383,8.5,513.7,25.00%,874.4,29.60%,0.4,0.1
65,Chasy,MAD,TOP,2.3 KDA3.0 / 3.2 / 4.4,0,5,1,58.70%,15,3,22,4.4,16,3.2,381.5,7.7,449.7,22.10%,619.6,21.40%,0.3,0.1
66,Yike,G2,JUG,2.2 KDA1.4 / 3.4 / 6.1,1,9,3,73.90%,13,1.4,55,6.1,31,3.4,320.3,5,434,18.90%,953.3,27.10%,0.3,0.2
67,Hanssama,G2,ADC,2.2 KDA4.2 / 3.4 / 3.2,1,9,3,72.80%,38,4.2,29,3.2,31,3.4,429.8,9.5,621,27.10%,544.7,15.50%,0.3,0.2
68,Fudge,C9,TOP,2.1 KDA3.0 / 3.3 / 3.8,1,6,2,58.50%,18,3,23,3.8,20,3.3,401.8,8.6,513,25.70%,842.4,27.00%,0.4,0.1
69,TheShy,WBG,TOP,2.1 KDA2.7 / 3.3 / 4.2,2,19,11,54.00%,53,2.7,81,4.2,64,3.3,388.1,8.3,595.7,26.20%,807,29.20%,0.3,0.1
70,BrokenBlade,G2,TOP,2.0 KDA1.5 / 3.2 / 5.0,0,9,3,64.10%,14,1.5,45,5,29,3.2,362.2,7.9,484.8,21.10%,859.5,24.40%,0.5,0.1
71,Zika,LNG,TOP,2.0 KDA1.4 / 2.0 / 2.7,0,11,5,44.60%,16,1.4,30,2.7,23,2,388.8,9.3,436.6,24.20%,752.3,27.40%,0.4,0.2
72,Caps,G2,MID,1.8 KDA2.3 / 4.0 / 4.8,1,9,3,70.60%,21,2.3,44,4.8,36,4,400.5,9.3,546.8,23.80%,553.3,15.70%,0.2,0.3
73,Mikyx,G2,SUP,1.7 KDA0.6 / 4.6 / 7.2,0,9,3,77.10%,6,0.6,65,7.2,42,4.6,228.6,1.1,203.4,8.80%,599.7,17.00%,2.2,0.6
74,Yeon,TL,ADC,1.6 KDA1.4 / 2.4 / 2.4,0,5,1,43.10%,7,1.4,12,2.4,12,2.4,395.8,9.7,418.8,25.00%,428.7,13.80%,0.4,0.3
75,Zven,C9,SUP,1.6 KDA0.5 / 4.0 / 6.0,0,6,2,55.70%,3,0.5,36,6,24,4,230,1.2,139.6,6.90%,536.5,17.20%,1.6,0.4
76,Oscarinin,FNC,TOP,1.6 KDA2.7 / 3.7 / 3.3,0,9,4,48.20%,25,2.7,30,3.3,34,3.7,384,8.2,486.8,22.10%,827.7,25.80%,0.4,0.1
77,Hylissang,MAD,SUP,1.5 KDA0.4 / 5.2 / 7.4,0,5,1,61.90%,2,0.4,37,7.4,26,5.2,226.4,1,156.3,7.60%,648,22.40%,1.6,0.3
78,CoreJJ,TL,SUP,1.2 KDA0.6 / 3.6 / 3.6,0,5,1,47.70%,3,0.6,18,3.6,18,3.6,227.5,1.3,111.8,6.60%,447,14.40%,1.7,0.5
79,Summit,TL,TOP,1.2 KDA1.2 / 3.2 / 2.6,0,5,1,43.10%,6,1.2,13,2.6,16,3.2,363.7,8.3,349.6,20.90%,804,26.00%,0.4,0.2
80,APA,TL,MID,1.0 KDA2.8 / 4.6 / 1.8,0,5,1,52.20%,14,2.8,9,1.8,23,4.6,377.5,8.5,466.3,27.90%,457.7,14.80%,0.5,0.2
