Index,Player,Team,Position,KDA,Kill,Death,Assist,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,Scout,LNG,MID,9.3,4.2,1.2,7.3,2,8,5,0.694,34,4.2,59,7.3,10,1.2,428.4,9.3,529.2,0.233,609.0,0.182,0.3,0.3
2,Peyz,GEN,ADC,8.5,4.1,1.2,6.2,2,14,8,0.796,58,4.1,87,6.2,17,1.2,440.2,9.9,673.8,0.29,383.7,0.117,0.4,0.3
3,Chovy,GEN,MID,7.3,4.2,1.2,5.1,3,14,8,0.719,59,4.2,72,5.1,18,1.2,436.9,9.9,622.3,0.268,593.1,0.181,0.4,0.4
4,GALA,LNG,ADC,7.2,5.0,1.6,6.7,2,8,5,0.701,40,5.0,54,6.7,13,1.6,455.3,10.3,728.3,0.321,369.6,0.111,0.2,0.3
5,Betty,PSG,ADC,6.5,4.6,1.5,5.3,1,13,6,0.691,60,4.6,70,5.3,20,1.5,441.8,10.3,755.8,0.307,420.2,0.131,0.3,0.3
6,Gumayusi,T1,ADC,6.4,4.2,1.4,5.1,1,17,13,0.7,73,4.2,88,5.1,25,1.4,470.8,10.8,643.7,0.299,374.0,0.124,0.4,0.3
8,Noah,FNC,ADC,5.9,4.5,1.5,4.3,1,6,2,0.768,27,4.5,26,4.3,9,1.5,445.3,10.2,684.1,0.311,329.6,0.102,0.4,0.2
9,knight,BLG,MID,5.7,4.6,2.0,6.6,4,20,13,0.74,93,4.6,133,6.6,40,2.0,421.3,8.9,690.7,0.279,595.0,0.191,0.3,0.3
11,Quad,FLY,MID,5.2,4.0,1.7,5.3,4,14,7,0.748,56,4.0,75,5.3,25,1.7,407.6,8.9,634.0,0.274,494.9,0.148,0.4,0.2
12,Light,WBG,ADC,5.1,4.6,1.9,5.2,0,16,8,0.697,75,4.6,84,5.2,31,1.9,444.4,10.1,613.2,0.267,420.1,0.134,0.3,0.3
15,Yeon,TL,ADC,4.9,3.8,1.8,5.0,1,10,5,0.676,38,3.8,50,5.0,18,1.8,444.6,10.4,735.7,0.316,464.4,0.141,0.4,0.4
16,Zeus,T1,TOP,4.8,2.5,1.8,6.3,1,17,13,0.66,44,2.5,108,6.3,32,1.8,401.9,8.3,453.1,0.211,622.7,0.206,0.4,0.1
17,Xiaohu,WBG,MID,4.8,3.6,2.3,7.3,2,16,8,0.771,59,3.6,117,7.3,37,2.3,405.7,8.8,638.5,0.278,549.9,0.175,0.4,0.4
18,Aiming,DK,ADC,4.8,5.0,2.0,4.6,0,9,3,0.769,45,5.0,42,4.6,18,2.0,450.0,10.4,652.7,0.298,457.7,0.134,0.3,0.3
21,Easylove,GAM,ADC,4.4,3.8,2.0,5.2,0,12,7,0.644,46,3.8,63,5.2,25,2.0,425.8,9.9,577.8,0.245,409.5,0.119,0.4,0.2
22,Kiaya,GAM,TOP,4.4,3.8,2.0,5.4,3,12,7,0.656,46,3.8,65,5.4,25,2.0,406.4,8.5,646.8,0.274,717.2,0.209,0.5,0.1
24,Faker,T1,MID,4.4,3.5,2.1,5.7,4,17,13,0.682,60,3.5,97,5.7,36,2.1,405.2,8.6,514.9,0.239,638.9,0.212,0.3,0.3
25,Massu,FLY,ADC,4.4,4.2,2.0,5.0,2,14,7,0.737,59,4.2,70,5.0,29,2.0,434.2,9.7,655.8,0.283,475.6,0.143,0.3,0.2
26,Bin,BLG,TOP,4.3,3.5,2.0,5.0,3,20,13,0.563,71,3.5,101,5.0,40,2.0,403.0,8.4,496.8,0.201,625.8,0.201,0.4,0.1
28,Elk,BLG,ADC,4.2,4.5,2.5,6.0,5,20,13,0.695,91,4.5,121,6.0,51,2.5,447.6,9.8,756.3,0.306,450.6,0.145,0.4,0.3
29,Viper,HLE,ADC,4.2,5.5,2.5,5.0,3,12,6,0.755,67,5.5,60,5.0,30,2.5,462.5,10.9,785.8,0.336,447.7,0.136,0.4,0.4
30,Azhi,PSG,TOP,4.0,2.8,2.3,6.3,1,13,6,0.632,37,2.8,82,6.3,30,2.3,384.8,8.2,582.8,0.237,577.2,0.18,0.4,0.2
32,Emo,GAM,MID,3.9,3.0,1.9,4.4,1,12,7,0.526,36,3.0,53,4.4,23,1.9,418.3,9.6,520.7,0.221,678.5,0.198,0.3,0.2
34,TitaN,PNG,ADC,3.8,3.3,2.3,5.4,3,12,5,0.714,40,3.3,65,5.4,28,2.3,430.6,10.1,685.5,0.304,527.5,0.156,0.4,0.3
35,Zika,LNG,TOP,3.8,4.6,3.1,7.1,0,8,5,0.701,37,4.6,57,7.1,25,3.1,436.0,8.7,553.7,0.244,905.0,0.271,0.4,0.1
38,BrokenBlade,G2,TOP,3.7,3.3,2.5,5.8,2,8,3,0.649,27,3.3,47,5.8,20,2.5,398.6,8.4,501.4,0.222,849.5,0.233,0.4,0.2
39,Creme,TES,MID,3.6,3.1,2.3,5.3,2,8,4,0.708,25,3.1,43,5.3,19,2.3,389.6,8.5,682.0,0.299,647.4,0.202,0.4,0.3
41,Zeka,HLE,MID,3.6,3.7,2.7,6.1,1,12,6,0.708,45,3.7,74,6.1,33,2.7,419.3,9.5,673.1,0.287,678.6,0.207,0.4,0.3
43,Caps,G2,MID,3.6,2.3,2.7,7.5,0,8,3,0.692,19,2.3,60,7.5,22,2.7,404.3,9.2,612.0,0.271,701.1,0.192,0.2,0.1
44,Supa,MDK,ADC,3.6,5.6,2.8,4.6,1,10,5,0.784,56,5.6,46,4.6,28,2.8,460.2,10.1,833.0,0.356,469.4,0.138,0.3,0.3
47,Maple,PSG,MID,3.4,4.0,2.4,4.3,2,13,6,0.585,53,4.0,57,4.3,32,2.4,418.9,9.3,637.9,0.259,584.0,0.182,0.4,0.2
48,JackeyLove,TES,ADC,3.4,4.0,2.6,5.0,2,8,4,0.75,32,4.0,40,5.0,21,2.6,438.9,10.1,609.2,0.267,389.8,0.121,0.3,0.4
50,Breathe,WBG,TOP,3.3,3.8,2.7,5.3,5,16,8,0.64,61,3.8,85,5.3,44,2.7,416.1,8.3,535.7,0.233,764.8,0.244,0.4,0.2
51,Kiin,GEN,TOP,3.3,2.2,2.5,6.1,1,14,8,0.642,31,2.2,86,6.1,35,2.5,379.6,8.3,514.1,0.221,724.1,0.22,0.4,0.1
57,369,TES,TOP,3.1,2.5,2.3,4.8,0,8,4,0.614,20,2.5,39,4.8,19,2.3,374.8,8.0,513.0,0.225,659.5,0.206,0.3,0.1
58,ShowMaker,DK,MID,3.1,3.5,2.6,4.7,2,9,3,0.663,32,3.5,43,4.7,24,2.6,390.4,8.4,622.7,0.284,607.5,0.177,0.5,0.3
60,Hanssama,G2,ADC,3.1,4.7,3.1,4.8,0,8,3,0.675,38,4.7,39,4.8,25,3.1,441.9,9.6,593.7,0.263,474.3,0.13,0.3,0.4
61,Dynquedo,PNG,MID,3.0,3.5,2.7,4.7,0,12,5,0.673,42,3.5,57,4.7,33,2.7,396.0,8.6,584.8,0.259,597.4,0.176,0.4,0.2
65,Doran,HLE,TOP,2.9,3.1,3.0,5.5,0,12,6,0.619,38,3.1,66,5.5,36,3.0,387.3,8.3,443.6,0.189,759.5,0.232,0.4,0.2
67,Wizer,PNG,TOP,2.7,4.0,2.7,3.4,0,12,5,0.605,48,4.0,41,3.4,33,2.7,391.4,8.3,470.4,0.209,742.2,0.219,0.4,0.2
71,Impact,TL,TOP,2.5,2.5,2.9,4.7,0,10,5,0.553,25,2.5,47,4.7,29,2.9,384.4,7.7,467.1,0.201,758.6,0.23,0.4,0.1
72,APA,TL,MID,2.4,3.5,3.2,4.2,1,10,5,0.592,35,3.5,42,4.2,32,3.2,413.9,9.0,610.8,0.263,532.2,0.161,0.5,0.3
73,Humanoid,FNC,MID,2.2,2.3,3.3,4.8,0,6,2,0.623,14,2.3,29,4.8,20,3.3,397.8,9.5,565.0,0.257,735.0,0.228,0.3,0.3
74,Oscarinin,FNC,TOP,2.0,2.0,3.5,4.8,0,6,2,0.594,12,2.0,29,4.8,21,3.5,355.3,7.6,373.8,0.17,762.6,0.237,0.3,0.2
75,Myrwn,MDK,TOP,2.0,1.9,3.3,4.8,0,10,5,0.515,19,1.9,48,4.8,33,3.3,352.8,7.4,440.8,0.188,820.8,0.242,0.3,0.1
77,Fresskowy,MDK,MID,1.9,2.7,3.4,3.8,1,10,5,0.5,27,2.7,38,3.8,34,3.4,399.0,9.0,566.3,0.242,561.6,0.165,0.4,0.2
78,Kingen,DK,TOP,1.8,1.6,3.5,4.6,1,9,3,0.504,15,1.6,42,4.6,32,3.5,367.2,7.8,483.5,0.221,710.7,0.208,0.3,0.1
81,Bwipo,FLY,TOP,1.7,2.1,4.1,4.8,1,14,7,0.56,30,2.1,68,4.8,58,4.1,385.0,8.4,515.7,0.222,1007.4,0.303,0.4,0.2
